,FID_1,ProjectNo,Dist,AddMPOName,IDENTIFIER,IDENTIFI_1,DESC_,PROJTYPE,ESTIMPRVAS,ROUTEORDER,TYCOUNTYDI,Routeuniqu,BEGINNINGM,ENDINGMILE,TYROUTENAM,EEC_Intersection,ProjectN_1,Roadway_EEC,Final_EEC
516,648,517,5,Louisville-Southern Indiana (KIPDA) MPO,IP20160218,5-391.30,IMPROVE OPERATIONAL PERFORMANCE OF THE I-65/KY-480 INTERCHANGE INCLUDING RAMP IMPROVEMENTS AND TURNING LANES. (12CCR)(14CCR)(2014BOP)(16CCR),RECONSTRUCTION(O),Innovative Interchange,11,Bullitt,015-I -0065  -342,0.0,0.027000000000000003,Existing,14.92330189,0,0.0,14.92330189
574,591,575,6,Northern Kentucky ADD,IP20140017,Jun-51,"IMPROVE EXISTING ALIGNMENT WITH BUTTERMILK PIKE, ORPHANAGE ROAD, AND US 25. FT. MITCHELL WILL PAY $50,000 TOWARD DESIGN. (16CCN)(18CCN)",RECONSTRUCTION(O),Realign Intersection,1,Kenton,059-KY-0371  -000,1.6,1.817,Existing,-2.3365931719999997,575,17.253109811,14.916516639000001
455,663,456,5,Bluegrass ADD,IP20150402,5-2035.70,WIDEN I-64 TO 6 LANES FROM KY-151 TO WEST OF THE KY-420 BRIDGE. (2004BOPC)(DESIGN FUNDED UNDER 5-2035.40)(16CCN),MAJOR WIDENING(O),Add Lane to Full Control Facility,1,Franklin,037-I -0064  -000,47.7,53.75,Existing,0.56057188,456,14.270016090869891,14.83058797086989
127,20,128,2,Green River ADD,IP20070108,,Address safety and service concerns of US-60 from the KY-950 to KY-492.,Major Widening,2 Lane to 4 Lane Divided - Rural,1,Union,113-US-0060  -000,10.52,13.29,Existing,3.0640416439999996,128,11.644175001,14.708216645
723,431,724,8,Bluegrass ADD,IP20150386,8-167,US-27 CORRIDOR FROM SOMERSET TO LEXINGTON. IMPROVE SAFETY AND REDUCE CONGESTION ON US-27 FROM KY-1247 TO EDUCATION WAY.,RECONSTRUCTION(O),Modernize Roadway-Rural,1,Lincoln,069-US-0027  -000,11.169,15.880999999999998,Existing,11.29170758,724,3.4152368642468316,14.706944444246833
515,763,516,5,Louisville-Southern Indiana (KIPDA) MPO,IP20160218,5-391.30,IMPROVE OPERATIONAL PERFORMANCE OF THE I-65/KY-480 INTERCHANGE INCLUDING RAMP IMPROVEMENTS AND TURNING LANES. (12CCR)(14CCR)(2014BOP)(16CCR),RECONSTRUCTION(O),Innovative Interchange,10,Bullitt,015-I -0065  -341,0.0,0.349,Existing,14.47096379,0,0.0,14.47096379
252,256,253,3,Bowling Green MPO,IP20150072,,Improve safety and mobility at the US 31W intersection with Broadway Avenue.,Reconstruction,Improve Intersection,3,Warren,114-CS-1577  -000,0.0,0.01,Existing,13.98086347,0,0.0,13.98086347
666,708,667,7,Bluegrass ADD,IP20190155,,Improved access to Central Kentucky Regional Airport from proposed KY 52.,New Route,,1,Madison,076-KY-0052  -000,5.3,7.0,Existing,8.65818661,667,5.322294237660691,13.98048084766069
451,705,452,5,Louisville-Southern Indiana (KIPDA) MPO,IP20150316,9-May,WIDEN KY-245 FROM BERNHEIM FOREST TO THE COMMUNITY COLLEGE. (08CCN)(10CCR)(14CCR)(16CCR),MINOR WIDENING(O),2 Lane to 4 Lane Divided - Rural,1,Bullitt,015-KY-0245  -000,4.425,6.415,Existing,-0.636885913,452,14.6039845569692,13.9670986439692
747,428,748,8,Lake Cumberland ADD,IP20190161,,"Improve the existing route, CS-2078 (Progress Drive) and CS-2067 (Brian Walters Drive), by widening and extending them to join.  This improvement with improve connectivity and will relieve some congestion on US 127 during peak traffic volumes.",New Route,Construct Road in New Location,1,Russell,104-CS-2078  -000,0.0,0.531,Existing,13.88173067,0,0.0,13.88173067
704,703,705,8,Lake Cumberland ADD,IP20120079,,Reduce congestion and improve mobility on US 127X between Ferguson St and McWhorter Rd.,Spot Improvement,Install Two-way Left Turn Lane,1,Clinton,027-US-0127  -000,3.895,5.191,Existing,2.96318875,705,10.68575369514149,13.64894244514149
865,947,866,11,Cumberland Valley ADD,IP20080616,,Address horizontal alignment issues on KY 363 from KY 3429 (Philpot Road) to the roundabout at KY 1006 with a study on adding an on/off ramp to I-75 from KY 363.,Reconstruction,Modernize Roadway-Rural,1,Laurel,063-KY-0363  -000,8.2,9.205,Existing,8.203798997,866,5.421468616,13.625267613
806,824,807,9,Buffalo Trace ADD,IP20160181,3-Sep,SAFETY IMPROVEMENTS AND PAVEMENT REHAB EAST OF FLEMINGSBURG BYPASS TO KY 156. (16CCN),SAFETY(P),Modernize Roadway-Rural,1,Fleming,035-KY-0032  -000,10.165,10.615,Existing,5.087074106,807,8.199052335693983,13.286126441693984
422,524,423,5,KIPDA ADD,IP20130035,May-55,IMPROVE SAFETY AND ADDRESS GEOMETRIC DEFICIENCIES ALONG KY-44 NEAR DUTCHMAN CREEK ROAD.  (16CCN),SAFETY(P),Improve Intersection,1,Spencer,108-KY-0044  -000,0.28,0.44,Existing,4.592663476999999,423,8.337129849767594,12.929793326767594
478,551,479,5,Louisville-Southern Indiana (KIPDA) MPO,IP20160019,5-560,IMPROVE SAFETY AND REDUCE CONGESTION AT THE I-65/I-265 (GENE SNYDER FREEWAY) INTERCHANGE.,RECONSTRUCTION(O),Innovative Interchange,7,Jefferson,056-I -0065  -121,0.0,0.731,Existing,12.657461099999999,0,0.0,12.657461099999999
643,548,644,7,Bluegrass ADD,IP20150317,Jul-53,"PROPOSED ROADWAY IMPROVEMENTS FROM DUNCANNON RD TO THE MADISON CO AIRPORT TO INCLUDE CALEAST RD (KY 2881 MP.783-MP 2.780), JOHN BALLARD RD (KY 2877 MP0-MP.806 & CR 1236 MP0-MP.429) FROM MENELAUS TO AIRPORT RD, & A NEW BRIDGE OVER SILVER CR.(14CCN)(16CCR)",SPOT IMPROVEMENTS(O),Modernize Roadway-Rural,1,Madison,076-KY-2881  -000,0.7829999999999999,2.78,Existing,4.662122658,644,7.596236201000003,12.258358859000003
190,142,191,2,Pennyrile ADD,IP20190021,,Minor widening of Rocky Creek Bridge on US 431 and northern approach to the bridge.,Minor Widening,,1,Muhlenberg,089-US-0431  -000,3.4,3.7,Existing,0.0,191,12.091772312953685,12.091772312953685
473,727,474,5,Louisville-Southern Indiana (KIPDA) MPO,IP20160019,5-560,IMPROVE SAFETY AND REDUCE CONGESTION AT THE I-65/I-265 (GENE SNYDER FREEWAY) INTERCHANGE.,RECONSTRUCTION(O),Innovative Interchange,2,Jefferson,056-I -0265  -000,10.25,10.695,Existing,10.37195866,474,1.2629263343540835,11.634884994354085
705,789,706,8,Lake Cumberland ADD,IP20120080,,Improve safety and mobility of KY 558 between KY 90 and KY 3045.,Reconstruction,Modernize Roadway-Rural,1,Clinton,027-KY-0558  -000,1.129,7.729,Existing,0.8492363479999999,706,10.74728933015386,11.59652567815386
132,105,133,2,Green River ADD,IP20070127,,Address service concerns of KY 630 from KY 132 in Dixon to the Hopkins County Line,Reconstruction,Other Improvement Types,2,Webster,117-KY-0630  -000,0.965,6.0,Existing,-0.536144517,133,12.085411718999998,11.549267201999998
772,749,773,9,Bluegrass ADD,IP20110097,,"Reconstruct KY 36, beginning 1 mile West of Whetstone Road and ending just West of Locust Grove Road. Correct horizontal, vertical and width deficiencies to improve operational efficiency and systems connectivity of KY 36.",Reconstruction,Modernize Roadway-Rural,1,Nicholas,091-KY-0036  -000,5.726,7.2,Existing,-0.097503126,773,11.630823427514608,11.533320301514609
613,560,614,7,Gateway ADD,IP20060246,,"Widen, improve safety, and reduce congestion on US 460 from Cardinal Lane to High Street in Mount Sterling.",Major Widening,Modernize Roadway-Rural,1,Montgomery,087-US-0460  -000,8.537,9.425,Existing,-9.306161196,614,20.537891812,11.231730616000002
542,480,543,5,KIPDA ADD,IP20190082,,Reconstruct KY 22/KY 146 from Pryor Avenue to KY 329B - 3 lane section with center turn lane. From MP 3.500 to MP 3.929.,,,1,Oldham,093-KY-0022  -000,3.5,3.929,Existing,8.465247541,543,2.706755978,11.172003519
332,222,333,4,Lincoln Trail ADD,IP20080737,,CONSTRUCT SOUTHEASTERN LEBANON BYPASS FROM INDUSTRIAL DRIVE TO US 68 AT KY 2154.  ESTIMATED TOTAL LENGTH: 3.5 MILES.,Bypass,Construct Road in New Location,1,Marion,078-US-0068  -000,9.363999999999999,12.322000000000001,Existing,-62.93661394,333,74.02641304500001,11.089799105000012
324,15,325,4,Barren River ADD,IP20070185,,"ADDRESS SAFETY, GEOMETRIC DEFICIENCIES AND MAINTENANCE ISSUES ALONG KY 1140 FROM US 31W NORTH OF MUNFORDVILLE TO MT. VERNON/ROCKY HILL RD.",Reconstruction,Modernize Roadway-Rural,1,Hart,050-KY-1140  -000,0.0,4.044,Existing,-1.261623397,325,12.325344837999998,11.063721440999998
140,290,141,2,Owensboro MPO,IP20080076,,18th Street (CS 1770) - Reconstruct to allow for center turn lanes where needed. Project begins at Breckenridge St (KY 2155 NB) and ends at Leitchfield Rd (CS 1033).,Reconstruction,Install Two-way Left Turn Lane,1,Daviess,030-CS-1770  -000,0.159,0.8640000000000001,Existing,-21.60335816,141,32.654030371000005,11.050672211000006
663,466,664,7,Bluegrass ADD,IP20170036,,Reconstruct US25 from Cherry Blossom Way (KY 620) to Double Culvert Rd (KY 620).,Reconstruction,Modernize Roadway-Rural,1,Scott,105-US-0025  -000,8.827,14.975,Existing,-13.60207913,664,24.574225066999986,10.972145936999986
181,48,182,2,Pennyrile ADD,IP20170012,,To improve safety by addressing geometric deficiencies of intersection and improving traffic control through the intersection with Pyle/Major Lane by constructing a roundabout.,Reconstruction,Improve Intersection,1,Christian,024-KY-0272  -000,8.1,8.4,Existing,10.18431691,182,0.5923751736625605,10.77669208366256
909,881,910,12,Kentucky River ADD,IP20080662,,Improve safety and substandard geometrics with a new facility that meets current standards from KY 899 to KY 3391.,Reconstruction,Modernize Roadway-Rural,1,Knott,060-KY-0160  -000,8.198,9.42,Existing,-1.822524291,910,12.550596073709126,10.728071782709126
498,471,499,5,Louisville-Southern Indiana (KIPDA) MPO,IP20160176,May-52,"WIDEN US-60 TO THREE LANES FROM EASTWOOD CUTOFF (MP 14.7) TO ROCKCREST WAY (MP 15.1). (LOCALS WILL DO DESIGN FOR $330,000). (16CCN)(18CCR)",MINOR WIDENING(O),Install Two-way Left Turn Lane,1,Jefferson,056-US-0060  -000,14.718,15.114,Existing,13.18595427,499,-2.6276108000000002,10.55834347
394,285,395,5,Bluegrass ADD,IP20080168,,Improve safety and address geometric deficiencies at the intersection of US 60 and KY 151.,Spot Improvement,Improve Intersection,1,Franklin,037-US-0060  -000,0.4,0.6,Existing,2.86919809,395,7.470452299,10.339650388999999
847,846,848,10,Kentucky River ADD,IP20150475,,Install curb and gutter with sidewalks along KY 15 from KY 15S/KY 191 to Campton Square Apartments.,Minor Widening,Modernize Roadway-Urban,1,Wolfe,119-KY-0015  -000,9.515,10.03,Existing,0.37518271,848,9.856357062,10.231539772000001
816,607,817,9,Buffalo Trace ADD,IP20190115,,Major Widening along KY 9 from 0.3 miles south of Knoweshaw Road to the KY 11 intersection.,Major Widening,Major Widening-Rural Mutilane,1,Mason,081-KY-0009  -000,5.6,7.56,Existing,2.774647261,817,7.3971595299493975,10.171806790949397
572,757,573,6,Northern Kentucky ADD,IP20130083,,Improve safety and mobility on US 27 at the KY 17 intersection.,Spot Improvement,Improve Intersection,1,Pendleton,096-US-0027  -000,11.6,12.0,Existing,6.429556992,573,3.5979094581403013,10.027466450140302
357,317,358,4,Elizabethtown-Radcliff MPO,IP20150339,4-198,"EXTEND RING ROAD FROM THE WESTERN KENTUCKY PARKWAY TO I-65. ""2 LANE INITIAL/4 LANE ULTIMATE"" (12CCR)(14CCR)",NEW ROUTE(O),Construct Road in New Location,5,Hardin,047-KY-1136  -000,7.8,10.655,Impacted,16.36010491,358,-6.36992199056809,9.99018291943191
871,921,872,11,Cumberland Valley ADD,IP20130063,,"Address realignment, safety, and congestion of Meyers-Baker Road from KY 1006 (5th Street) to KY 363 (Whitley Street).  Address horizontal alignment and sight-distance issues of the intersection of Meyers-Baker Road with KY 363.",Reconstruction,Modernize Roadway-Rural,1,Laurel,063-CS-1156  -000,0.0,0.636,Existing,5.88056418,872,4.046997535,9.927561715
86,355,87,1,Purchase ADD,IP20190050,,"Widen from KY 1286 (Friendship Road) to US 62 to improve mobility, safety and address geometric deficiencies.",Reconstruction,,1,McCracken,073-KY-0998  -000,0.0,1.7180000000000002,Existing,-1.6039513980000002,87,11.454446629000001,9.850495231000002
597,782,598,6,Northern Kentucky ADD,IP20190002,,"Improve safety, mobility, address geometric deficiencies, and drainage along KY 237 (Gunpowder Rd.) from KY 536 (Mt. Zion Rd.)  to US 42.",,,1,Boone,008-KY-0237  -000,0.0,1.588,Existing,1.025827176,598,8.814723441000002,9.840550617000002
138,278,139,2,Owensboro MPO,IP20080068,,"Southeastern Pkwy - Reconstruct to address safety, widen the road, add curb/gutter, install sidewalks, realign the curves, and install turn lanes where needed. Project begins at New Hartford Rd (US 231) and ends at Old Hartford Rd (KY 298).",Minor Widening,Modernize Roadway-Rural,1,Daviess,030-KY-2117  -000,0.0,0.61,Existing,-2.247659989,139,11.992999873,9.745339884
414,42,415,5,Louisville-Southern Indiana (KIPDA) MPO,IP20110064,5-549,RECONSTRUCTION OF THE I-265/I-64 INTERCHANGE. (2016BOP),I-CHANGE RECONST(O),Innovative Interchange,7,Jefferson,056-I -0064  -582,0.0,0.239,Existing,9.738463984,0,0.0,9.738463984
162,82,163,2,Pennyrile ADD,IP20150177,Feb-34,WIDEN KY-70 (PRINCETON ROAD) FROM US-41 WESTERLY TO SEMINARY STREET. (10CCN),MAJOR WIDENING(O),Modernize Roadway-Rural,1,Hopkins,054-KY-0070  -000,18.412,18.653,Existing,3.505015339,163,6.197855254,9.702870593
318,120,319,4,Elizabethtown-Radcliff MPO,IP20070175,,EXTENSION OF NEW GLENDALE ROAD FROM US 31W TO COMMERCE DRIVE IN ELIZABETHTOWN.,New Route,Construct Road in New Location,3,Hardin,047-US-0062  -000,17.965,19.855999999999998,Impacted,-27.88542594,319,37.58070321799999,9.695277277999988
208,414,209,3,Barren River ADD,IP20060171,6-Mar,SPOT IMPROVEMENTS ON US-68 FROM THE CUMBERLAND PARKWAY TO THE GREEN/METCALFE COUNTY LINE.(12CCN)(16CCN)(18CCN),SPOT IMPROVEMENTS(O),Modernize Roadway-Rural,1,Metcalfe,085-US-0068  -000,17.835,20.016,Existing,-0.08199553400000001,209,9.405560841000002,9.323565307
476,629,477,5,Louisville-Southern Indiana (KIPDA) MPO,IP20160019,5-560,IMPROVE SAFETY AND REDUCE CONGESTION AT THE I-65/I-265 (GENE SNYDER FREEWAY) INTERCHANGE.,RECONSTRUCTION(O),Innovative Interchange,5,Jefferson,056-I -0065  -111,0.0,0.573,Existing,9.206920582999999,0,0.0,9.206920582999999
390,248,391,4,Lincoln Trail ADD,IP20180046,4-8916.20,HEARTLAND PARKWAY: IMPROVE MOBILITY FROM THE LEBANON BYPASS TO BOOKER ROAD (CR 1214) NEAR SPRINGFIELD. (CONSTRUCTION SEGMENT 2)(2018BOP),RECONSTRUCTION(O),Modernize & Widen Roadway-Rural,1,Washington,115-KY-0055  -000,0.0,4.551,Existing,13.82946943,391,-4.637882643000002,9.191586786999999
535,755,536,5,Louisville-Southern Indiana (KIPDA) MPO,IP20190047,5-483.30,CONSTRUCT NEW I-71 INTERCHANGE BETWEEN KY-393 AND KY-53 TO RELIEVE CONGESTION IN LAGRANGE.,NEW INTERCHANGE(O),Grade Separated to Interchange,5,Oldham,093-KY-0393  -000,4.692,4.846,Impacted,8.917770186,536,0.23711523899999998,9.154885425
652,710,653,7,Bluegrass ADD,IP20150407,5-Jul,IMPROVE US-460 FROM RUSSELL CAVE ROAD TO US-27 BYPASS IN PARIS.(12CCN)(14CCR)(16CCR),RECONSTRUCTION(O),Modernize Roadway-Rural,1,Bourbon,009-US-0460  -000,1.3940000000000001,7.696000000000001,Existing,-5.37146366,653,14.465464138000012,9.094000478000012
175,134,176,2,Green River ADD,IP20150399,,Widen/reconstruct KY from Centertown to Hartford. (14CCN),Minor Widening,Modernize Roadway-Rural,1,Ohio,092-KY-0069  -000,7.556,13.317,Existing,-0.81089704,176,9.843080842184138,9.032183802184138
648,589,649,7,Bluegrass ADD,IP20150336,7-196.20,CONSTRUCT WEST LANCASTER BYPASS. (2006BOPC),RELOCATION(O),Construct Road in New Location,1,Garrard,040-US-0027  -000,0.0,1.0,Existing,-1.945227181,649,10.797711382000001,8.852484201000001
549,599,550,6,Northern Kentucky ADD,IP20040017,,Improve safety and mobility and address geometric deficiencies along US 42 from the western city limit of Ghent to the Gallatin County line.,Minor Widening,Modernize Roadway-Rural,1,Carroll,021-US-0042  -000,13.2,16.5,Existing,-0.686773772,550,9.414764372000002,8.727990600000002
107,77,108,2,Pennyrile ADD,IP20060101,,Reconstruct KY 1069 from US 41A to 0.2 miles north of Brown Badgett Loop intersection near Hanson.,Reconstruction,Modernize Roadway-Rural,1,Hopkins,054-KY-1069  -000,0.0,1.8,Existing,0.764055288,108,7.848062642510637,8.612117930510637
717,768,718,8,Lake Cumberland ADD,IP20150202,8-121,HORIZONTAL AND VERTICAL REALIGNMENT OF KY-196 AT WHITE OAK CREEK FROM 1.0 MILE E OF WARNER ROAD TO 0.3 MILE W OF SIEVERS ROAD.(10CCR)(14CCR),SAFETY(P),Modernize Roadway-Rural,1,Pulaski,100-KY-0196  -000,7.7,8.2,Existing,0.0,718,8.599515866663147,8.599515866663147
609,641,610,7,Bluegrass ADD,IP20040018,,Reconstruct US 460 from I-75 in Scott County to KY 353 (Russell Cave Rd) in Bourbon County.,Reconstruction,Modernize Roadway-Rural,1,Bourbon,009-US-0460  -000,0.0,1.3940000000000001,Existing,1.447046785,610,6.900079778999999,8.347126563999998
244,179,245,3,Bowling Green MPO,IP20120083,Mar-54,MAJOR WIDENING/RECONSTRUCTION OF CEMETERY ROAD (KY-234) FROM FOUNTAIN TRACE TO ROGER PORTER ROAD (MP 7.878 TO MP 9.625).(14CCN)(16CCR),MAJOR WIDENING(O),Modernize Roadway-Rural,1,Warren,114-KY-0234  -000,7.877999999999999,9.552999999999999,Existing,4.250614775,245,4.023655082000001,8.274269857
623,553,624,7,Bluegrass ADD,IP20080468,,Reconstruct US 460 from Soards Road to Belvedere Dr.,Major Widening,Modernize Roadway-Rural,1,Scott,105-US-0460  -000,4.008,6.072,Existing,1.488670935,624,6.774256792999999,8.262927728
477,791,478,5,Louisville-Southern Indiana (KIPDA) MPO,IP20160019,5-560,IMPROVE SAFETY AND REDUCE CONGESTION AT THE I-65/I-265 (GENE SNYDER FREEWAY) INTERCHANGE.,RECONSTRUCTION(O),Innovative Interchange,6,Jefferson,056-I -0065  -112,0.0,0.42200000000000004,Existing,8.253032073,0,0.0,8.253032073
412,59,413,5,Louisville-Southern Indiana (KIPDA) MPO,IP20110064,5-549,RECONSTRUCTION OF THE I-265/I-64 INTERCHANGE. (2016BOP),I-CHANGE RECONST(O),Innovative Interchange,5,Jefferson,056-I -0064  -581,0.0,0.419,Existing,8.190782259,0,0.0,8.190782259
438,568,439,5,Louisville-Southern Indiana (KIPDA) MPO,IP20150154,5-347.51,NEW TURN LANES IN FRONT OF BULLITT EAST HIGH SCHOOL. (BREAKOUT FROM 347.50) (18CCN),RECONSTRUCTION(O),Modernize Roadway-Rural,1,Bullitt,015-KY-0044  -000,23.6,23.7,Existing,5.605857403,439,2.561452269969461,8.167309672969461
610,753,611,7,Bluegrass ADD,IP20040019,,RECONSTRUCT KY 52 FROM KY 1805 (Goggin Ln) TO KY 590.,Major Widening,Modernize Roadway-Rural,1,Boyle,011-KY-0052  -000,1.5859999999999999,3.773,Existing,-2.000744628,611,10.121364424999996,8.120619796999996
375,63,376,4,Lincoln Trail ADD,IP20160072,Apr-54,EXTEND THE WILLIAM THOMASON BYWAY (KY 3155) FROM THE SOUTHERN INTERSECTION AT KY 259 WESTERLY TO KY 54. (16CCN)(18CCN),NEW ROUTE(O),Construct Road in New Location,5,Grayson,043-KY-0054  -000,17.15,18.465999999999998,Impacted,3.791639076,376,4.29446112857894,8.08610020457894
659,816,660,7,Bluegrass ADD,IP20160243,,"Modernize Roadway to improve horizontal & vertical curves, widen shoulders, improve safety.",Reconstruction,Modernize Roadway-Rural,1,Bourbon,009-KY-0537  -000,0.0,3.58,Existing,-0.806858455,660,8.87977647088571,8.07291801588571
877,927,878,11,Cumberland Valley ADD,IP20150063,,"Address access, safety, sidewalk improvements on KY 1223 from KY 3431 (American Greeting Card Road) to North Stewart Road",Minor Widening,Modernize Roadway-Rural,1,Laurel,063-KY-1223  -000,1.139,1.666,Existing,7.058641527000001,878,0.9875341579999999,8.046175685000001
423,748,424,5,KIPDA ADD,IP20130038,5-80004,FOUR RIGHT TURNING LANES AT THE INTERSECTION OF KY 55X AND KY 43 AND TWO LEFT TURNING LANES FROM KY 55X ONTO KY 43.(18CCN),SAFETY(P),Improve Intersection,1,Shelby,106-KY-0055  -000,1.097,1.419,Existing,0.0,424,7.983792940587635,7.983792940587635
70,152,71,1,Purchase ADD,IP20160023,Jan-52,IMPROVE N 16TH STREET FROM KY 1327 (5 POINTS) TO KY 121. (16CCN),SAFETY(P),Modernize Roadway-Rural,999,Calloway,018-CS-1047  -000,1.079,1.179,Approach,3.664174415,71,4.218608995,7.88278341
327,84,328,4,Lake Cumberland ADD,IP20070200,,ADDRESS SAFETY AND GEOMETRIC DEFICIENCIES ALONG KY 70 FROM 0.2 MI E OF ROBERTS RD (NEAR ELK HORN BAPTIST CHURCH) TO NEAR KY 76,Reconstruction,Modernize Roadway-Rural,1,Taylor,109-KY-0070  -000,3.1,4.1,Existing,-0.337682345,328,8.142617858493928,7.804935513493928
606,612,607,6,Northern Kentucky ADD,IP20190073,,Reconstruct I-75 interchange at KY 236 (Donaldson Road).  Interchange is part of 6-79 IMR.  Investigate DCD.,Reconstruction,,2,Kenton,059-I -0275  -010,79.505,81.008,Existing,7.7860862420000005,0,0.0,7.7860862420000005
876,850,877,11,Cumberland Valley ADD,IP20150022,,"Address safety concerns and horizontal alignment with curve just passed Brush Arbor Road, as well as adding sidewalks to roadway",Reconstruction,Modernize Roadway-Rural,1,Whitley,118-KY-0296  -000,0.0,0.8240000000000001,Existing,-3.2998157189999997,877,11.050559427999998,7.750743708999998
229,56,230,3,Barren River ADD,IP20080131,,Improve safety at the intersection split of US 68 and KY 80 in Edmonton.,Safety-Haz-Elm,Improve Intersection,1,Metcalfe,085-US-0068  -000,8.77,9.24,Existing,9.097362087,230,-1.4582667365719881,7.639095350428012
797,713,798,9,Huntington-Ashland-Ironton MPO,IP20150338,9-Sep,IMPROVE KY-207 FROM THE INDUSTRIAL PARKWAY TO THE KY-693 INTERSECTION IN FLATWOODS.(08CCN)(16CCR),NEW ROUTE(O),Modernize Roadway-Rural,1,Greenup,045-KY-0207  -000,10.932,15.88,Existing,14.0545954,798,-6.463898310061552,7.590697089938448
677,603,678,8,Lake Cumberland ADD,IP20040029,,"Reduce congestion and improve safety, capacity and mobility along KY 1577 between KY 1642 and KY 3261 near Oak Hill Baptist Church in Somerset.",Reconstruction,Modernize Roadway-Rural,1,Pulaski,100-KY-1577  -000,0.0,2.213,Existing,7.835818712000001,678,-0.29309711200000055,7.5427216
220,49,221,3,Barren River ADD,IP20060197,,Improve safety by addressing vertical alignment deficiencies on KY-585 from the intersection with KY-73 to the intersection with Roark Road.,Reconstruction,Modernize Roadway-Rural,1,Simpson,107-KY-0585  -000,0.0,1.165,Existing,2.178562468,221,5.30771244,7.486274908
469,563,470,5,Louisville-Southern Indiana (KIPDA) MPO,IP20160017,5-559,IMPROVE SAFETY AND REDUCE CONGESTION AT THE I-65/I-264 (WATTERSON EXPRESSWAY) INTERCHANGE.,RECONSTRUCTION(O),Major Interchange Reconstruction,8,Jefferson,056-I -0065  -523,0.0,1.003,Existing,7.351305019,0,0.0,7.351305019
415,259,416,5,Louisville-Southern Indiana (KIPDA) MPO,IP20110064,5-549,RECONSTRUCTION OF THE I-265/I-64 INTERCHANGE. (2016BOP),I-CHANGE RECONST(O),Innovative Interchange,8,Jefferson,056-I -0064  -572,0.0,0.23199999999999998,Existing,7.313712371,0,0.0,7.313712371
418,109,419,5,Louisville-Southern Indiana (KIPDA) MPO,IP20110064,5-549,RECONSTRUCTION OF THE I-265/I-64 INTERCHANGE. (2016BOP),I-CHANGE RECONST(O),Innovative Interchange,11,Jefferson,056-I -0064  -572,0.0,0.243,Existing,7.313712371,0,0.0,7.313712371
908,930,909,12,Kentucky River ADD,IP20080660,,Safety improvements while maintaining or improving traffic flow on KY 15 at the intersection of KY 160 near Carr Fork Lake.,Safety-Haz-Elm,Improve Intersection,1,Knott,060-KY-0015  -000,3.8,4.1,Existing,4.726453726,909,2.4798305774003553,7.206284303400356
634,788,635,7,Bluegrass ADD,IP20150123,,Improve safety on Jacks Creek Rd (KY 1156) from US 25 to Clay Lane.,Safety-Haz-Elm,,1,Madison,076-KY-1156  -000,0.0,4.651,Existing,-1.382371145,635,8.436129871000004,7.053758726000003
386,140,387,4,Lake Cumberland ADD,IP20180045,,Extend KY 3535 from its current terminus to the Heartland Parkway (KY 55) near KY 1701 in Taylor County,New Route,,3,Green,044-KY-3535  -000,0.0,0.772,Existing,4.679369198,387,2.3295080710000002,7.008877269
41,263,42,1,Purchase ADD,IP20080027,,Correct geometric deficiencies and address safety and truck access issues from KY 58 to KY 483.,Reconstruction,Modernize Roadway-Rural,1,Graves,042-KY-0131  -000,0.0,4.555,Existing,1.998108947,42,4.847525510999999,6.845634457999999
118,60,119,2,Clarksville-Oak Grove MPO,IP20070038,,Address safety issues by installing interchange lighting.,Lighting,Innovative Interchange,2,Christian,024-KY-0115  -000,2.76,3.009,Existing,2.203026227,119,4.35343155010465,6.556457777104651
755,425,756,9,Huntington-Ashland-Ironton MPO,IP20080512,,"Improve operational efficiency on Segment 2 of KY-168 from From US-60 (MP 5.8) to Hood Creek Road (MP 7.4) in Ashland to decrease congestion, conflict points with turning vehicles, rear-end collisions and allow for freer traffic flow.",Minor Widening,Other Improvement Types,1,Boyd,010-KY-0168  -000,5.803999999999999,7.457999999999999,Existing,-9.026156419,756,15.432684014000003,6.406527595000004
953,938,954,12,Kentucky River ADD,IP20160251,12-199.50,"RECONSTRUCT US-119 BY WIDENING TO 4-LANES ALONG A NEW ALIGNMENT (ORANGE) THROUGH THE GATEWAY INDUSTRIAL PARK TO US-23, INCLUDING US-23 FLYOVER RAMP.(16CCN)",RECONSTRUCTION(O),Construct Road in New Location,1,Letcher,067-US-0119  -000,23.889,26.495,Existing,-7.391516202999999,954,13.744492286387894,6.352976083387895
235,309,236,3,Barren River ADD,IP20110177,,Improve safety and mobility issues related to geometric deficiencies on US 68 from Highland Glen Industrial Park to KY 2189.,Reconstruction,Modernize Roadway-Rural,1,Barren,005-US-0068  -000,7.9,9.52,Existing,3.1009583010000004,236,3.027037935811852,6.127996236811852
417,157,418,5,Louisville-Southern Indiana (KIPDA) MPO,IP20110064,5-549,RECONSTRUCTION OF THE I-265/I-64 INTERCHANGE. (2016BOP),I-CHANGE RECONST(O),Innovative Interchange,10,Jefferson,056-I -0064  -562,0.0,0.255,Existing,6.126650174,0,0.0,6.126650174
922,961,923,12,Big Sandy ADD,IP20080697,12-346,IMPROVE SAFETY AND REDUCE CONGESTION AT THE US-460 AND KY-1460 INTERSECTION.,MINOR WIDENING(O),Improve Intersection,1,Pike,098-US-0460  -000,2.57,2.77,Existing,-2.7323091839999996,923,8.688404731453751,5.956095547453751
